id,campaign_id,comment_id,comment_text,sentiment_score,username,likes,replies,created_at
1,fa_camp_0001,comment_926893,I'm excited to see how this can help my business grow! Thanks for sharing!,0.9,annet123,17,0,2025-05-19T04:48:28.980125
2,fa_camp_0001,comment_964213,Looks interesting! I wonder how it compares to other tools available.,0.5,curiousJoe,35,0,2025-05-24T08:53:34.086415
3,fa_camp_0001,comment_868641,I've tried similar tools before and wasn't impressed. What sets yours apart?,-0.5,skepticMike,37,0,2025-05-24T09:50:53.566920
4,fa_camp_0001,comment_697195,This could be a game changer for small businesses in South Africa! Can't wait to try it!,0.85,happyBizOwner,12,0,2025-06-02T13:33:40.801495
5,fa_camp_0001,comment_416510,"AI tools are great, but will they really cater to our local market needs?",0.3,realistNia,9,0,2025-06-05T22:59:51.990626
6,fa_camp_0002,comment_692872,Excited to see how AI can transform marketing in South Africa!,0.9,user001,28,2,2025-05-28T16:08:04.485829
7,fa_camp_0002,comment_566600,Interesting approach! How does it differ from other solutions?,0.0,user002,5,3,2025-05-18T23:11:55.496114
8,fa_camp_0002,comment_485269,I hope this actually delivers results. Many tools have disappointed.,-0.5,user003,64,0,2025-06-09T20:08:23.374858
9,fa_camp_0002,comment_966637,"Finally, marketing that understands our local market! Looking forward to trying this.",0.85,user004,75,0,2025-05-31T15:31:22.737509
10,fa_camp_0002,comment_482312,"AI sounds cool, but I worry it might replace real marketers.",-0.3,user005,28,1,2025-05-27T18:27:54.731949
11,fa_camp_0003,comment_944988,This AI tool could really transform our marketing efforts. Excited to give it a try!,0.9,marketer01,29,0,2025-06-04T06:00:29.926378
12,fa_camp_0003,comment_119946,Interesting concept! Need to see more about how it works before making a decision.,0.2,curious_user,49,0,2025-05-26T05:34:19.781612
13,fa_camp_0003,comment_986073,"I've tried similar tools before, but they didn't work as promised. Hope this one is different!",-0.5,sceptical_sam,5,0,2025-05-30T13:11:44.902311
14,fa_camp_0003,comment_269955,The demo looks promising! Can't wait to see how AI can streamline our marketing.,0.85,happyclient,77,0,2025-06-01T08:11:54.470251
15,fa_camp_0003,comment_525184,Not sure if AI is the answer for every business. Will need more info to be convinced.,0.1,cautious_cathy,63,0,2025-06-07T07:19:33.663724
16,fa_camp_0004,comment_129677,This AI tool sounds promising! Can't wait to see how it can streamline my business processes.,0.9,businessOwner1,14,0,2025-06-01T06:13:05.409493
