id,campaign_id,metric_date,impressions,clicks,spend,conversions,revenue,likes,shares,saves,comments_count,video_views,profile_visits,created_at
1,fa_camp_0001,2025-05-19,1574,44,182.58,14,679.76,248,21,13,0,0,24,2025-06-15T21:28:03.481886
2,fa_camp_0001,2025-05-20,3995,89,277.93,14,1825.81,314,8,8,0,0,20,2025-06-15T21:28:03.481901
3,fa_camp_0001,2025-05-21,1797,54,162.74,10,1653.49,357,7,6,0,0,23,2025-06-15T21:28:03.481910
4,fa_camp_0001,2025-05-22,3481,67,466.78,7,1194.44,406,8,13,0,0,21,2025-06-15T21:28:03.481918
5,fa_camp_0001,2025-05-23,1555,40,384.42,14,780.01,416,22,4,0,0,11,2025-06-15T21:28:03.481925
6,fa_camp_0001,2025-05-24,3271,87,447.91,6,394.5,257,18,13,0,0,11,2025-06-15T21:28:03.481932
7,fa_camp_0001,2025-05-25,3755,59,297.85,8,583.6,260,15,5,0,0,16,2025-06-15T21:28:03.481938
8,fa_camp_0001,2025-05-26,2203,81,330.46,12,390.89,447,17,11,0,0,26,2025-06-15T21:28:03.481944
9,fa_camp_0001,2025-05-27,3971,88,232.26,4,1608.79,422,5,4,0,0,23,2025-06-15T21:28:03.481951
10,fa_camp_0001,2025-05-28,3371,72,416.13,13,347.57,240,29,12,0,0,16,2025-06-15T21:28:03.481957
11,fa_camp_0001,2025-05-29,2142,42,350.45,9,1754.52,310,13,10,0,0,24,2025-06-15T21:28:03.481963
12,fa_camp_0001,2025-05-30,1741,98,397.41,15,1207.21,468,12,7,0,0,21,2025-06-15T21:28:03.481970
13,fa_camp_0001,2025-05-31,3265,70,168.79,10,1332.8,298,23,6,0,0,28,2025-06-15T21:28:03.481976
14,fa_camp_0001,2025-06-01,3450,103,424.17,4,1729.65,381,27,14,0,0,19,2025-06-15T21:28:03.481982
15,fa_camp_0002,2025-06-06,2884,447,178.19,32,16262.04,639,10,13,0,0,83,2025-06-15T21:28:03.482007
16,fa_camp_0002,2025-06-07,3083,323,217.32,37,13244.09,289,30,5,0,0,131,2025-06-15T21:28:03.482014
17,fa_camp_0002,2025-06-08,7451,283,142.7,36,15996.62,799,26,22,0,0,92,2025-06-15T21:28:03.482021
18,fa_camp_0002,2025-06-09,3337,187,94.8,37,16183.82,642,19,23,0,0,82,2025-06-15T21:28:03.482027
19,fa_camp_0002,2025-06-10,7144,363,220.63,28,7908.59,471,44,11,0,0,105,2025-06-15T21:28:03.482033
20,fa_camp_0002,2025-06-11,6986,210,88.2,16,19893.93,589,24,18,0,0,124,2025-06-15T21:28:03.482039
