id,campaign_id,name,platform,status,objective,campaign_type,budget_type,budget_amount,spend_amount,remaining_budget,impressions,clicks,conversions,revenue,ctr,cpc,cpm,cpa,roas,likes,shares,saves,comments_count,total_engagement,engagement_rate,sentiment_score,overall_sentiment,positive_comments,neutral_comments,negative_comments,video_views,video_completion_rate,profile_visits,website_clicks,is_optimized,optimization_score,target_audience,ad_creative,campaign_settings,start_date,end_date,created_at,updated_at
1,fa_camp_0001,Smart Marketing Solutions,facebook,active,engagement,demo_video,daily,10842.11,4446.6,7122.01,37391,966,127,15303.81,2.58,4.6,118.92,35.01,3.44,4427,264,131,5,4827,12.91,0.41,positive,4,0,1,0,0,289,966,false,0.45,"{""age_range"": {""min"": 25, ""max"": 64}, ""genders"": ""female"", ""locations"": [""Johannesburg"", ""Durban"", ""Pretoria"", ""Cape Town""], ""interests"": [""business"", ""technology"", ""marketing""]}","{""headline"": ""Smart Marketing Solutions"", ""description"": ""Unlock the potential of your SME with our advanced AI marketing tools! Tailored for South African bu..."", ""call_to_action"": ""contact_us""}","{""placements"": [""feed"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""bid_cap""}",2025-05-19,,2025-06-15T20:48:22.211919,2025-06-15T20:48:22.211924
2,fa_camp_0002,AI-Powered Marketing for Growth,facebook,active,brand_awareness,demo_video,daily,4923.72,2153.27,3823.0,76977,4247,450,171984.45,5.52,0.51,27.97,4.79,79.87,7792,366,229,5,8392,10.9,0.19,neutral,2,1,2,0,0,1274,4247,true,0.83,"{""age_range"": {""min"": 23, ""max"": 61}, ""genders"": ""all"", ""locations"": [""Cape Town"", ""Johannesburg"", ""Pretoria"", ""Durban""], ""interests"": [""AI"", ""business"", ""automation""]}","{""headline"": ""AI-Powered Marketing for Growth"", ""description"": ""Embrace the future of marketing with our AI-driven solutions designed specifically for South African..."", ""call_to_action"": ""learn_more""}","{""placements"": [""reels"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-06-06,,2025-06-15T20:48:25.060084,2025-06-15T20:48:25.060086
3,fa_camp_0003,Revolutionize Your Marketing Strategy,facebook,paused,conversions,demo_video,daily,3403.22,1431.61,633.33,77606,5634,164,17442.1,7.26,0.25,18.45,8.73,12.18,6833,318,293,5,7449,9.6,0.31,positive,2,2,1,31042,0,1690,5634,false,0.75,"{""age_range"": {""min"": 19, ""max"": 60}, ""genders"": ""male"", ""locations"": [""Pretoria"", ""Johannesburg"", ""Cape Town""], ""interests"": [""technology"", ""AI"", ""business"", ""automation""]}","{""headline"": ""Revolutionize Your Marketing Strategy"", ""description"": ""Is your SME ready to elevate its marketing game? Our demo video reveals how AI can help you create d..."", ""call_to_action"": ""get_quote""}","{""placements"": [""feed""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-05-22,,2025-06-15T20:48:29.222504,2025-06-15T20:48:29.222507
4,fa_camp_0004,Maximize Efficiency with AI,facebook,active,traffic,demo_video,daily,5245.77,3806.8,1120.73,15838,177,4,1846.94,1.12,21.51,240.36,951.7,0.49,1731,77,94,5,1907,12.04,0.55,positive,4,1,0,0,0.46,53,177,false,0.57,"{""age_range"": {""min"": 23, ""max"": 64}, ""genders"": ""female"", ""locations"": [""Pretoria"", ""Johannesburg""], ""interests"": [""automation"", ""technology"", ""AI"", ""marketing""]}","{""headline"": ""Maximize Efficiency with AI"", ""description"": ""Join the AI marketing revolution and maximize your SME's efficiency! Our demo video demonstrates how..."", ""call_to_action"": ""learn_more""}","{""placements"": [""stories"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-04-27,2025-07-10,2025-06-15T20:48:32.059369,2025-06-15T20:48:32.059371
5,fa_camp_0005,Tailored AI Marketing Strategies,facebook,paused,brand_awareness,demo_video,daily,5562.8,1860.43,3570.16,34114,1346,47,16509.85,3.95,1.38,54.54,39.58,8.87,2448,160,127,5,2740,8.03,0.48,positive,3,1,1,0,0,403,1346,true,0.5,"{""age_range"": {""min"": 29, ""max"": 54}, ""genders"": ""all"", ""locations"": [""Johannesburg"", ""Cape Town"", ""Durban"", ""Pretoria""], ""interests"": [""business"", ""marketing"", ""technology"", ""AI""]}","{""headline"": ""Tailored AI Marketing Strategies"", ""description"": ""Every SME is unique, and so are our AI marketing solutions! In our demo video, explore how we custom..."", ""call_to_action"": ""contact_us""}","{""placements"": [""stories"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-05-25,2025-07-15,2025-06-15T20:48:35.260746,2025-06-15T20:48:35.260750
6,fa_camp_0006,Unlock Your Business Potential,facebook,active,conversions,image_post,daily,7488.05,3379.02,600.57,28232,1587,183,52531.26,5.62,2.13,119.69,18.46,15.55,3542,97,109,5,3753,13.29,0.37,positive,3,1,1,11292,0.49,476,1587,true,0.9,"{""age_range"": {""min"": 31, ""max"": 55}, ""genders"": ""female"", ""locations"": [""Johannesburg"", ""Pretoria"", ""Durban""], ""interests"": [""marketing"", ""business"", ""technology"", ""automation"", ""AI""]}","{""headline"": ""Unlock Your Business Potential"", ""description"": ""Is your marketing strategy making the most of AI technology? Our Free AI Marketing Audit is designed..."", ""call_to_action"": ""sign_up""}","{""placements"": [""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-04-14,2025-07-31,2025-06-15T20:48:45.500061,2025-06-15T20:48:45.500067
7,fa_camp_0007,Transform Your Marketing Strategy,facebook,active,traffic,image_post,daily,4694.09,3034.59,3325.11,43279,1920,82,38615.82,4.44,1.58,70.12,37.01,12.73,2874,227,138,5,3244,7.5,0.41,positive,3,1,1,17311,0,576,1920,false,0.33,"{""age_range"": {""min"": 24, ""max"": 64}, ""genders"": ""all"", ""locations"": [""Durban"", ""Johannesburg"", ""Cape Town"", ""Pretoria""], ""interests"": [""marketing"", ""technology"", ""business"", ""AI""]}","{""headline"": ""Transform Your Marketing Strategy"", ""description"": ""Step into the future with our Free AI Marketing Audit! Tailored for South African entrepreneurs, thi..."", ""call_to_action"": ""contact_us""}","{""placements"": [""feed"", ""reels"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""cost_cap""}",2025-05-16,2025-08-07,2025-06-15T20:48:49.485831,2025-06-15T20:48:49.485836
8,fa_camp_0008,Maximize Your Marketing Budget,facebook,active,traffic,image_post,daily,4756.42,3790.45,7220.68,97496,5978,553,32008.72,6.13,0.63,38.88,6.85,8.44,7834,740,559,5,9138,9.37,0.36,positive,3,1,1,0,0,1793,5978,true,0.57,"{""age_range"": {""min"": 34, ""max"": 48}, ""genders"": ""female"", ""locations"": [""Pretoria"", ""Cape Town"", ""Durban"", ""Johannesburg""], ""interests"": [""technology"", ""marketing"", ""AI"", ""automation"", ""business""]}","{""headline"": ""Maximize Your Marketing Budget"", ""description"": ""Are you getting the most out of your marketing budget? Our Free AI Marketing Audit will identify are..."", ""call_to_action"": ""sign_up""}","{""placements"": [""reels"", ""stories"", ""feed""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-03-31,,2025-06-15T20:48:52.565177,2025-06-15T20:48:52.565182
9,fa_camp_0009,AI-Powered Marketing Made Easy,facebook,active,traffic,image_post,daily,7609.72,3041.83,4764.26,43659,2491,125,45338.2,5.71,1.22,69.67,24.33,14.9,4377,316,172,5,4870,11.15,0.38,positive,3,1,1,17463,0.65,747,2491,false,0.87,"{""age_range"": {""min"": 22, ""max"": 63}, ""genders"": ""male"", ""locations"": [""Cape Town"", ""Durban"", ""Johannesburg""], ""interests"": [""automation"", ""technology"", ""marketing"", ""business""]}","{""headline"": ""AI-Powered Marketing Made Easy"", ""description"": ""Join the wave of South African businesses harnessing the power of AI! Our Free AI Marketing Audit gu..."", ""call_to_action"": ""sign_up""}","{""placements"": [""feed"", ""reels"", ""stories""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-03-18,,2025-06-15T20:48:55.330131,2025-06-15T20:48:55.330134
10,fa_camp_0010,Your Path to Marketing Success,facebook,active,brand_awareness,image_post,daily,767.05,410.87,164.42,51001,918,80,28217.72,1.8,0.45,8.06,5.14,68.68,5237,297,175,5,5714,11.2,0.23,positive,2,2,1,0,0.6,275,918,true,0.31,"{""age_range"": {""min"": 18, ""max"": 60}, ""genders"": ""male"", ""locations"": [""Cape Town"", ""Durban"", ""Johannesburg"", ""Pretoria""], ""interests"": [""technology"", ""business"", ""marketing"", ""AI"", ""automation""]}","{""headline"": ""Your Path to Marketing Success"", ""description"": ""Ready to elevate your marketing game? Our Free AI Marketing Audit for South African businesses will ..."", ""call_to_action"": ""get_quote""}","{""placements"": [""stories"", ""feed"", ""reels""], ""schedule"": {""start_time"": ""09:00"", ""end_time"": ""20:00""}, ""bid_strategy"": ""lowest_cost""}",2025-05-17,2025-07-26,2025-06-15T20:48:58.244360,2025-06-15T20:48:58.244365
